time	flux
2456895.8555	1.0004948207
2456895.85603	1.00049275415
2456895.85665	1.00049035408
2456895.85718	1.0004882911
2456895.8578	1.00048589529
2456895.85834	1.00048383607
2456895.85895	1.00048144472
2456895.85949	1.00047938945
2456895.8601	1.00047700278
2456895.86064	1.00047495164
2456895.86126	1.00047256986
2456895.86179	1.00047052304
2456895.86241	1.00046814636
2456895.86294	1.00046610403
2456895.86356	1.00046373267
2456895.86409	1.00046169501
2456895.86471	1.00045932918
2456895.86524	1.00045729637
2456895.86586	1.00045493626
2456895.86639	1.00045290847
2456895.86701	1.00045055429
2456895.86754	1.0004485317
2456895.86816	1.00044618364
2456895.86869	1.00044416643
2456895.86931	1.0004418247
2456895.86984	1.00043981303
2456895.87046	1.00043747782
2456895.87099	1.00043547186
2456895.87161	1.00043314337
2456895.87215	1.00043114328
2456895.87276	1.00042882171
2456895.8733	1.00042682766
2456895.87391	1.00042451319
2456895.87445	1.00042252534
2456895.87507	1.00042021816
2456895.8756	1.00041823668
2456895.87622	1.00041593697
2456895.87675	1.00041396201
2456895.87737	1.00041166996
2456895.8779	1.00040970168
2456895.87852	1.00040741747
2456895.87905	1.00040545602
2456895.87967	1.00040317983
2456895.8802	1.00040122537
2456895.88082	1.00039895737
2456895.88135	1.00039701004
2456895.88197	1.00039475042
2456895.8825	1.00039281038
2456895.88312	1.0003905593
2456895.88365	1.00038862669
2456895.88427	1.00038638432
2456895.8848	1.00038445928
2456895.88542	1.00038222579
2456895.88595	1.00038030848
2456895.88657	1.00037808403
2456895.88711	1.00037617457
2456895.88772	1.00037395933
2456895.88826	1.00037205787
2456895.88887	1.00036985199
2456895.88941	1.00036795867
2456895.89003	1.00036576232
2456895.89056	1.00036387726
2456895.89118	1.00036169058
2456895.89171	1.00035981393
2456895.89233	1.00035763708
2456895.89286	1.00035576896
2456895.89348	1.00035360209
2456895.89401	1.00035174262
2456895.89463	1.00034958588
2456895.89516	1.0003477352
2456895.89578	1.00034558872
2456895.89631	1.00034374695
2456895.89693	1.00034161088
2456895.89746	1.00033977814
2456895.89808	1.00033765263
2456895.89861	1.00033582903
2456895.89923	1.00033371421
2456895.89976	1.00033189987
2456895.90038	1.00032979588
2456895.90092	1.00032799092
2456895.90153	1.00032589788
2456895.90207	1.00032410241
2456895.90268	1.00032202046
2456895.90322	1.00032023459
2456895.90384	1.00031816384
2456895.90437	1.00031638768
2456895.90499	1.00031432827
2456895.90552	1.00031256193
2456895.90614	1.00031051398
2456895.90667	1.00030875754
2456895.90729	1.00030672117
2456895.90782	1.00030497475
2456895.90844	1.00030295007
2456895.90897	1.00030121377
2456895.90959	1.00029920089
2456895.91012	1.0002974748
2456895.91074	1.00029547383
2456895.91127	1.00029375805
2456895.91189	1.00029176911
2456895.91242	1.00029006372
2456895.91304	1.00028808691
2456895.91357	1.00028639201
2456895.91419	1.00028442743
2456895.91472	1.0002827431
2456895.91534	1.00028079085
2456895.91588	1.00027911718
2456895.91649	1.00027717736
2456895.91703	1.00027551444
2456895.91765	1.00027358714
2456895.91818	1.00027193503
2456895.9188	1.00027002035
2456895.91933	1.00026837915
2456895.91995	1.00026647717
2456895.92048	1.00026484693
2456895.9211	1.00026295775
2456895.92163	1.00026133856
2456895.92225	1.00025946225
2456895.92278	1.00025785419
2456895.9234	1.00025599083
2456895.92393	1.00025439395
2456895.92455	1.00025254364
2456895.92508	1.00025095801
2456895.9257	1.0002491208
2456895.92623	1.00024754649
2456895.92685	1.00024572247
2456895.92738	1.00024415954
2456895.928	1.00024234877
2456895.92853	1.00024079728
2456895.92915	1.00023899984
2456895.92969	1.00023745984
2456895.9303	1.00023567578
2456895.93084	1.00023414733
2456895.93145	1.00023237673
2456895.93199	1.00023085989
2456895.93261	1.00022910279
2456895.93314	1.0002275976
2456895.93376	1.00022585408
2456895.93429	1.00022436059
2456895.93491	1.00022263069
2456895.93544	1.00022114894
2456895.93606	1.00021943272
2456895.93659	1.00021796276
2456895.93721	1.00021626026
2456895.93774	1.00021480214
2456895.93836	1.00021311341
2456895.93889	1.00021166716
2456895.93951	1.00020999225
2456895.94004	1.0002085579
2456895.94066	1.00020689685
2456895.94119	1.00020547445
2456895.94181	1.00020382729
2456895.94234	1.00020241686
2456895.94296	1.00020078364
2456895.94349	1.00019938521
2456895.94411	1.00019776596
2456895.94465	1.00019637957
2456895.94526	1.00019477431
2456895.9458	1.00019339998
2456895.94642	1.00019180875
2456895.94695	1.0001904465
2456895.94757	1.00018886932
2456895.9481	1.00018751918
2456895.94872	1.00018595608
2456895.94925	1.00018461806
2456895.94987	1.00018306906
2456895.9504	1.00018174318
2456895.95102	1.0001802083
2456895.95155	1.00017889458
2456895.95217	1.00017737383
2456895.9527	1.00017607228
2456895.95332	1.00017456568
2456895.95385	1.0001732763
2456895.95447	1.00017178387
2456895.955	1.00017050668
2456895.95562	1.00016902842
2456895.95615	1.00016776343
2456895.95677	1.00016629934
2456895.9573	1.00016504655
2456895.95792	1.00016359665
2456895.95846	1.00016235606
2456895.95907	1.00016092034
2456895.95961	1.00015969196
2456895.96022	1.00015827042
2456895.96076	1.00015705424
2456895.96138	1.00015564689
2456895.96191	1.00015444291
2456895.96253	1.00015304973
2456895.96306	1.00015185794
2456895.96368	1.00015047894
2456895.96421	1.00014929934
2456895.96483	1.0001479345
2456895.96536	1.00014676707
2456895.96598	1.00014541638
2456895.96651	1.00014426113
2456895.96713	1.00014292457
2456895.96766	1.00014178147
2456895.96828	1.00014045903
2456895.96881	1.00013932808
2456895.96943	1.00013801974
2456895.96996	1.00013690091
2456895.97058	1.00013560666
2456895.97111	1.00013449993
2456895.97173	1.00013321974
2456895.97227	1.00013212509
2456895.97288	1.00013085894
2456895.97342	1.00012977636
2456895.97403	1.00012852421
2456895.97457	1.00012745368
2456895.97519	1.00012621551
2456895.97572	1.00012515699
2456895.97634	1.00012393278
2456895.97687	1.00012288624
2456895.97749	1.00012167595
2456895.97802	1.00012064138
2456895.97864	1.00011944497
2456895.97917	1.00011842232
2456895.97979	1.00011723976
2456895.98032	1.00011622901
2456895.98094	1.00011506027
2456895.98147	1.00011406138
2456895.98209	1.00011290641
2456895.98262	1.00011191935
2456895.98324	1.0001107781
2456895.98377	1.00010980283
2456895.98439	1.00010867527
2456895.98492	1.00010771176
2456895.98554	1.00010659784
2456895.98607	1.00010564604
2456895.98669	1.00010454572
2456895.98723	1.00010360559
2456895.98784	1.00010251881
2456895.98838	1.00010159031
2456895.989	1.00010051702
2456895.98953	1.00009960011
2456895.99015	1.00009854027
2456895.99068	1.00009763489
2456895.9913	1.00009658844
2456895.99183	1.00009569455
2456895.99245	1.00009466143
2456895.99298	1.00009377899
2456895.9936	1.00009275915
2456895.99413	1.0000918881
2456895.99475	1.00009088148
2456895.99528	1.00009002178
2456895.9959	1.00008902831
2456895.99643	1.0000881799
2456895.99705	1.00008719953
2456895.99758	1.00008636235
2456895.9982	1.00008539502
2456895.99873	1.00008456902
2456895.99935	1.00008361466
2456895.99988	1.00008279979
2456896.0005	1.00008185833
2456896.00104	1.00008105453
2456896.00165	1.0000801259
2456896.00219	1.00007933312
2456896.0028	1.00007841726
2456896.00334	1.00007763543
2456896.00396	1.00007673227
2456896.00449	1.00007596132
2456896.00511	1.00007507079
2456896.00564	1.00007431068
2456896.00626	1.00007343271
2456896.00679	1.00007268336
2456896.00741	1.00007181787
2456896.00794	1.00007107922
2456896.00856	1.00007022614
2456896.00909	1.00006949813
2456896.00971	1.00006865738
2456896.01024	1.00006793995
2456896.01086	1.00006711146
2456896.01139	1.00006640453
2456896.01201	1.00006558822
2456896.01254	1.00006489173
2456896.01316	1.00006408751
2456896.01369	1.0000634014
2456896.01431	1.00006260921
2456896.01484	1.00006193339
2456896.01546	1.00006115314
2456896.016	1.00006048756
2456896.01661	1.00005971916
2456896.01715	1.00005906374
2456896.01777	1.00005830712
2456896.0183	1.00005766179
2456896.01892	1.00005691687
2456896.01945	1.00005628156
2456896.02007	1.00005554824
2456896.0206	1.00005492288
