alpha,Lambda,FpoFs
#alpha=-180
-175,3.3078, 0.000041689896
-175,3.2691, 0.000041457863
-175,3.2309, 0.000037620342
-175,3.1934, 0.000036377034
-175,3.1559, 0.000037125254
-175,3.1184, 0.000040791747
-175,3.0848, 0.000045306771
-175,3.0548, 0.000052075042
-175,3.0145, 0.000054769597
-175,2.9647, 0.000051491640
-175,2.9086, 0.000045088662
-175,2.8468, 0.000037652402
-175,2.7875, 0.000033010062
-175,2.7304, 0.000031202854
-175,2.6756, 0.000026877384
-175,2.6230, 0.000027858501
-175,2.5736, 0.000022693380
-175,2.5272, 0.000022866991
-175,2.4816, 0.000022543402
-175,2.4368, 0.000018938673
-175,2.3942, 0.000015451886
-175,2.3536, 0.000013087626
-175,2.3143, 0.000012823401
-175,2.2765, 0.000011609286
-175,2.2400, 0.000012421996
-175,2.2089, 0.000012551868
-175,2.1828, 0.000018569760
-175,2.1625, 0.000022438540
-175,2.1477, 0.000023522418
-175,2.1365, 0.000024888874
-175,2.1288, 0.000025253433
-175,2.1136, 0.000026062617
-175,2.0911, 0.000026646781
-175,2.0698, 0.000025753221
-175,2.0498, 0.000023520123
-175,2.0298, 0.000021211419
-175,2.0098, 0.000018000514
-175,1.9820, 0.000014785226
-175,1.9470, 0.000011895508
-175,1.9163, 0.000012371356
-175,1.8894, 0.000012384577
-175,1.8631, 0.000009096667
-175,1.8374, 0.000008934911
-175,1.8123, 0.000009250666
-175,1.7884, 0.000009390898
-175,1.7656, 0.000010295228
-175,1.7405, 0.000011590598
-175,1.7133, 0.000011330049
-175,1.6915, 0.000010278794
-175,1.6749, 0.000009251547
-175,1.6598, 0.000012469753
-175,1.6461, 0.000013008293
-175,1.6274, 0.000011124712
-175,1.6040, 0.000020519913
-175,1.5837, 0.000027843871
-175,1.5672, 0.000025769921
-175,1.5523, 0.000022523127
-175,1.5376, 0.000018013455
-175,1.5226, 0.000014232999
-175,1.5060, 0.000010996903
-175,1.4881, 0.000007909938
-175,1.4706, 0.000006256346
-175,1.4524, 0.000005097304
-175,1.4337, 0.000003278879
-175,1.4159, 0.000002613749
-175,1.4001, 0.000002486925
-175,1.3865, 0.000002428468
-175,1.3741, 0.000002389034
-175,1.3583, 0.000002124991
-175,1.3393, 0.000004156130
-175,1.3185, 0.000018588785
