time	flux	error	model	residuals
2456895.629	1.00101664245	4.23533842398e-05	1.00097151275	4.50859013509e-05
2456895.63077	1.00082642357	4.05849740006e-05	1.00082887902	-2.45341356036e-06
2456895.63254	1.00084773242	4.23528272552e-05	1.00061622328	0.000231366562181
2456895.63431	1.00034705644	4.05840995042e-05	1.00038163094	-3.45613138791e-05
2456895.63608	1.00032534548	4.23521465174e-05	1.00016119524	0.000164123779811
2456895.63785	1.00001172708	4.05837812829e-05	1.00001383305	-2.10594159976e-06
2456895.67413	0.999853679105	4.23512704015e-05	1.0	-0.000146320895482
2456895.67591	1.00015094857	4.05743801443e-05	1.0	0.000150948569986
2456895.67768	0.999999246369	4.23534460876e-05	1.0	-7.53630978734e-07
2456895.67945	1.0000741457	4.05749776712e-05	1.0	7.41457038984e-05
2456895.68122	1.00006302384	4.2354053661e-05	1.0	6.30238405217e-05
2456895.68299	1.0000130894	4.05748773093e-05	1.0	1.30893957475e-05
2456895.68476	1.00008677824	4.23540559978e-05	1.0	8.67782424165e-05
2456895.68653	0.999985643013	4.05753867097e-05	1.0	-1.43569865972e-05
2456895.6883	1.00008564833	4.23541598551e-05	1.0	8.56483323395e-05
2456895.69007	0.999938073469	4.05751448802e-05	1.0	-6.19265313146e-05
2456895.69184	1.00003796634	4.23538298539e-05	1.0	3.79663400603e-05
2456895.69361	0.999991848094	4.05748504999e-05	1.0	-8.15190551595e-06
2456895.69538	1.00010854629	4.23537459772e-05	1.0	0.000108546286971
2456895.69716	0.999907953773	4.05747278797e-05	1.0	-9.20462271616e-05
2456895.69893	1.00001283649	4.2353482216e-05	1.0	1.2836486653e-05
2456895.7007	0.999795211358	4.05740680378e-05	1.0	-0.000204788641577
2456895.70247	1.00004230312	4.23523540687e-05	1.0	4.23031205288e-05
2456895.70424	0.999927216721	4.0583778665e-05	1.0	-7.27832794538e-05
2456895.74055	1.00070367273	4.2352037665e-05	1.00093576225	-0.000231872536357
2456895.74232	1.00099406162	4.05747916949e-05	1.00093162039	6.23831185989e-05
2456895.74409	1.0009380239	4.23545329734e-05	1.0009273917	1.06223455045e-05
2456895.74586	1.00097216584	4.05751362922e-05	1.00092307738	4.90431822749e-05
2456895.74763	1.00096331989	4.23546317773e-05	1.00091867865	4.46002662689e-05
2456895.7494	1.00086815205	4.0575329808e-05	1.00091419674	-4.60026350639e-05
2456895.75117	1.00093240594	4.23542838432e-05	1.00090963292	2.27523238356e-05
2456895.75294	1.00087358667	4.05753820203e-05	1.00090498846	-3.13734030991e-05
2456895.75471	1.00093342999	4.23545699901e-05	1.00090026467	3.31354892978e-05
2456895.75648	1.00076857694	4.05752145831e-05	1.00089546286	-0.000126772396639
2456895.75825	1.00090219734	4.23544716626e-05	1.00089058438	1.1602628076e-05
2456895.76002	1.00077734341	4.05757786953e-05	1.00088563057	-0.000108191345762
2456895.76181	1.00093088289	4.23544626352e-05	1.00088057422	5.02644147517e-05
2456895.76358	1.00074149667	4.05752520124e-05	1.00087547351	-0.00013385965173
2456895.76535	1.00091336509	4.23538135551e-05	1.00087030168	4.30259716675e-05
2456895.76712	1.00085201042	4.05747744997e-05	1.00086506013	-1.30384275821e-05
2456895.76889	1.00093097036	4.23531892193e-05	1.00085975032	7.11588594641e-05
2456895.77066	1.00084782092	4.05843059487e-05	1.00085437369	-6.54717752913e-06
2456895.80696	1.00062396318	4.23523116245e-05	1.00073196809	-0.000107925919011
2456895.80874	1.00085525625	4.0574942054e-05	1.00072549169	0.000129670484364
2456895.81051	1.00078843123	4.23543008995e-05	1.00071902011	6.93612501708e-05
2456895.81228	1.00075414656	4.0575802418e-05	1.00071251868	4.15982337818e-05
2456895.81405	1.00078616407	4.23548712148e-05	1.00070598904	8.01184614653e-05
2456895.81582	1.00066027894	4.05759270265e-05	1.00069943281	-3.91264992617e-05
2456895.81759	1.00073897956	4.23549911139e-05	1.0006928516	4.60960178689e-05
2456895.81937	1.00067047321	4.05760963667e-05	1.00068624704	-1.5763021632e-05
2456895.82114	1.00063260694	4.2355489316e-05	1.00067962075	-4.69818821549e-05
2456895.82291	1.00056787744	4.0576203167e-05	1.00067297432	-0.000105026207728
2456895.82468	1.00074893661	4.2354802794e-05	1.00066630938	8.25722078343e-05
2456895.82645	1.00056733656	4.05758160075e-05	1.00065962753	-9.22301329485e-05
2456895.82822	1.00073105533	4.23548846074e-05	1.00065293035	7.80739998266e-05
2456895.83	1.00055256417	4.05758727945e-05	1.0006461815	-9.35568779894e-05
2456895.83177	1.00074346214	4.23543680479e-05	1.0006394584	0.000103937280692
2456895.83355	1.0006351685	4.05852965735e-05	1.00063272474	2.44221684611e-06
2456895.83532	1.00069085233	4.23536492718e-05	1.0006259821	6.48296554192e-05
2456895.83709	1.0005536512	4.05847756553e-05	1.00061923203	-6.55402364758e-05
2456895.8734	1.00029709274	4.23528098742e-05	1.00048167332	-0.000184491714212
2456895.87519	1.00062993261	4.05757129563e-05	1.00047508213	0.000154776944973
2456895.87696	1.00050132462	4.23549789238e-05	1.00046855238	3.27568860062e-05
2456895.87873	1.00054020201	4.05762985601e-05	1.00046204821	7.81177100228e-05
2456895.8805	1.00053406495	4.23553351668e-05	1.00045557079	7.84584158913e-05
2456895.88227	1.00045369765	4.05766943742e-05	1.00044912132	4.5742744104e-06
2456895.88404	1.00044491577	4.23557145085e-05	1.00044270095	2.2138419019e-06
2456895.88581	1.00040060833	4.05764199629e-05	1.00043631082	-3.56869158182e-05
2456895.88758	1.00038268046	4.23555798212e-05	1.00042995204	-4.7251264947e-05
2456895.88936	1.00031500058	4.05766812e-05	1.00042362571	-0.000108579134899
2456895.89113	1.00042395735	4.23551002515e-05	1.0004173329	6.62168922766e-06
2456895.8929	1.00032264992	4.05764585397e-05	1.00041107466	-8.83884015518e-05
2456895.89467	1.00046942535	4.23556073232e-05	1.00040485201	6.45472099575e-05
2456895.89645	1.00030135167	4.05760153734e-05	1.00039863113	-9.72406938861e-05
2456895.89822	1.00045740071	4.23548022126e-05	1.00039248289	6.48923448374e-05
2456895.89999	1.00034293787	4.05752958585e-05	1.00038637321	-4.34185666346e-05
2456895.90177	1.00054620391	4.23542774683e-05	1.00038030303	0.000165837807525
2456895.90354	1.00035699198	4.05748579775e-05	1.00037427325	-1.7274806764e-05
2456895.93985	1.00009000298	4.23533812299e-05	1.00026086378	-0.000170816240064
2456895.94162	1.00042565269	4.05762466337e-05	1.00025587882	0.000169730433444
2456895.9434	1.00028756345	4.23559405228e-05	1.00025092085	3.66334146949e-05
2456895.94517	1.00027948395	4.0576876111e-05	1.00024604591	3.3429816605e-05
2456895.94694	1.00021832316	4.23561451416e-05	1.00024122634	-2.28976546562e-05
